file,line,kind,type,lhs,placement_new,bare_stmt,code
ho/System_LLM.cpp,190,heap_caps_calloc,,p,False,False,"void* p = heap_caps_calloc(1, size, MALLOC_CAP_SPIRAM);"
ho/System_LLM.cpp,959,strdup,,norm_prompt,False,False,char* norm_prompt = strdup(prompt);
ho/System_LLM.cpp,1011,malloc,,prompt_tokens,False,False,int* prompt_tokens = (int*)malloc(prompt_buf_n * sizeof(int));
ho/System_LLM.cpp,1909,heap_caps_malloc,,gLLMResultBuf,False,False,"gLLMResultBuf = (char*)heap_caps_malloc(LLM_RESULT_BUF_SIZE, MALLOC_CAP_SPIRAM);"
ho/System_LLMChat.cpp,101,ps_realloc,,newBuf,False,False,"char* newBuf = (char*)ps_realloc(t.text, newCap,"
ho/System_LLMChat.cpp,111,ps_realloc,,newBuf,False,False,"char* newBuf = (char*)ps_realloc(t.text, newCap, AllocPref::PreferPSRAM);"
ho/System_LLM_Model.cpp,120,malloc,,scales,False,False,float* scales = (float*)malloc(n_groups * sizeof(float));
ho/System_LLM_Model.cpp,128,malloc,,tmp,False,False,int8_t* tmp = (int8_t*)malloc(group_size);
ho/System_LLM_Model.cpp,704,heap_caps_calloc,,stateHotData,False,False,"gLLM.stateHotData = (float*)heap_caps_calloc(1, ctx.hotSize, MALLOC_CAP_INTERNAL | MALLOC_CAP_8BIT);"
ho/System_LLM_Model.cpp,765,malloc,,repBuf,False,False,gLLM.repBuf = (int*)malloc(repSize * sizeof(int));
ho/System_LLM_Tokenizer.cpp,81,calloc,,vocab,False,False,"t->vocab = (char**)calloc(tok_vocab_size, sizeof(char*));"
ho/System_LLM_Tokenizer.cpp,172,calloc,,bpeReachable,False,False,"bool* bpeReachable = (bool*)calloc(tok_vocab_size, sizeof(bool));"
ho/System_LLM_Tokenizer.cpp,198,calloc,,presplit,False,False,"t->presplit = (PreSplitToken*)calloc(unreachableCount, sizeof(PreSplitToken));"
ho/System_Maps.cpp,430,ps_malloc,,names,False,False,MapNameEntry* names = (MapNameEntry*)ps_malloc(sizeof(MapNameEntry) * header.nameCount);
ho/System_Maps.cpp,462,ps_malloc,,tileDir,False,False,HWMapTileDirEntry* tileDir = (HWMapTileDirEntry*)ps_malloc(tileDirSize);
ho/System_Maps.cpp,569,ps_malloc,,pool,False,False,pool = (uint8_t*)ps_malloc(poolSize);
ho/System_Maps.cpp,633,ps_malloc,,slots,False,False,TileCacheSlot* slots = (TileCacheSlot*)ps_malloc(sizeof(TileCacheSlot) * totalSlots);
ho/System_MemUtil.h,66,heap_caps_malloc,,p,False,False,"void* p = heap_caps_malloc(size, MALLOC_CAP_SPIRAM);"
ho/System_MemUtil.h,73,malloc,,p2,False,False,void* p2 = malloc(size);
ho/System_MemUtil.h,80,heap_caps_calloc,,p,False,False,"void* p = heap_caps_calloc(n, size, MALLOC_CAP_SPIRAM);"
ho/System_MemUtil.h,86,calloc,,p2,False,False,"void* p2 = calloc(n, size);"
ho/System_MemUtil.h,93,heap_caps_realloc,,p,False,False,"void* p = heap_caps_realloc(ptr, size, MALLOC_CAP_SPIRAM);"
ho/System_MemUtil.h,99,realloc,,p2,False,False,"void* p2 = realloc(ptr, size);"
ho/System_MemUtil.h,137,heap_caps_malloc,,p,False,False,"void* p = heap_caps_malloc(size, MALLOC_CAP_SPIRAM);"
ho/System_MemUtil.h,144,malloc,,p2,False,False,void* p2 = malloc(size);
ho/System_MemUtil.h,155,heap_caps_malloc,,p,False,False,"void* p = heap_caps_malloc(size, MALLOC_CAP_SPIRAM);"
ho/System_MemUtil.h,162,malloc,,p2,False,False,void* p2 = malloc(size);
ho/System_MemUtil.h,168,ps_calloc,,,False,True,"inline void* ps_calloc(size_t n, size_t size, AllocPref pref = AllocPref::PreferPSRAM) {"
ho/System_MemUtil.h,172,heap_caps_calloc,,p,False,False,"void* p = heap_caps_calloc(n, size, MALLOC_CAP_SPIRAM);"
ho/System_MemUtil.h,179,calloc,,p2,False,False,"void* p2 = calloc(n, size);"
ho/System_MemUtil.h,186,ps_calloc,,,False,True,"inline void* ps_calloc(size_t n, size_t size, AllocPref pref, const char* tag) {"
ho/System_MemUtil.h,190,heap_caps_calloc,,p,False,False,"void* p = heap_caps_calloc(n, size, MALLOC_CAP_SPIRAM);"
ho/System_MemUtil.h,197,calloc,,p2,False,False,"void* p2 = calloc(n, size);"
ho/System_MemUtil.h,203,ps_realloc,,,False,True,"inline void* ps_realloc(void* ptr, size_t size, AllocPref pref = AllocPref::PreferPSRAM) {"
ho/System_MemUtil.h,207,heap_caps_realloc,,p,False,False,"void* p = heap_caps_realloc(ptr, size, MALLOC_CAP_SPIRAM);"
ho/System_MemUtil.h,215,realloc,,p2,False,False,"void* p2 = realloc(ptr, size);"
ho/System_MemUtil.h,222,ps_realloc,,,False,True,"inline void* ps_realloc(void* ptr, size_t size, AllocPref pref, const char* tag) {"
ho/System_MemUtil.h,226,heap_caps_realloc,,p,False,False,"void* p = heap_caps_realloc(ptr, size, MALLOC_CAP_SPIRAM);"
ho/System_MemUtil.h,233,realloc,,p2,False,False,"void* p2 = realloc(ptr, size);"
ho/System_MemUtil.h,243,new,T,,True,False,return new (mem) T(std::forward<Args>(args)...);
ho/System_MemUtil.h,292,heap_caps_malloc,,p,False,False,"void* p = heap_caps_malloc(size, MALLOC_CAP_SPIRAM);"
ho/System_MemUtil.h,295,malloc,,,False,False,return malloc(size);
ho/System_MemUtil.h,308,heap_caps_realloc,,p,False,False,"void* p = heap_caps_realloc(ptr, new_size, MALLOC_CAP_SPIRAM);"
ho/System_MemUtil.h,311,realloc,,,False,False,"return realloc(ptr, new_size);"
ho/System_Microphone.cpp,1039,heap_caps_malloc,,samples,False,False,"int16_t* samples = (int16_t*)heap_caps_malloc(bufSize * sizeof(int16_t), MALLOC_CAP_SPIRAM | MALLOC_CAP_8BIT);"
ho/System_Notifications.cpp,85,new,NotifContext,slot,False,False,slot = new NotifContext{};
ho/System_Settings.cpp,517,malloc,,result,False,False,char* result = (char*)malloc(plaintextLen + 1);
ho/System_Utils.cpp,3832,new,ExecReq,,True,True,new (r) ExecReq();
ho/System_Utils.cpp,3929,new,ExecReq,,True,True,new (r) ExecReq();
ho/System_Utils.cpp,3963,new,ExecReq,,True,True,new (r) ExecReq();
ho/System_WiFi.cpp,1109,heap_caps_malloc,,key,False,False,"mbedtls_pk_context* key = (mbedtls_pk_context*)heap_caps_malloc(sizeof(mbedtls_pk_context), MALLOC_CAP_SPIRAM);"
ho/System_WiFi.cpp,1110,heap_caps_malloc,,crt,False,False,"mbedtls_x509write_cert* crt = (mbedtls_x509write_cert*)heap_caps_malloc(sizeof(mbedtls_x509write_cert), MALLOC_CAP_SPIRAM);"
ho/System_WiFi.cpp,1111,heap_caps_malloc,,entropy,False,False,"mbedtls_entropy_context* entropy = (mbedtls_entropy_context*)heap_caps_malloc(sizeof(mbedtls_entropy_context), MALLOC_CAP_SPIRAM);"
ho/System_WiFi.cpp,1112,heap_caps_malloc,,ctr_drbg,False,False,"mbedtls_ctr_drbg_context* ctr_drbg = (mbedtls_ctr_drbg_context*)heap_caps_malloc(sizeof(mbedtls_ctr_drbg_context), MALLOC_CAP_SPIRAM);"
ho/System_WiFi.cpp,1217,heap_caps_malloc,,certPem,False,False,"certPem = (unsigned char*)heap_caps_malloc(4096, MALLOC_CAP_SPIRAM);"
ho/System_WiFi.cpp,1218,heap_caps_malloc,,keyPem,False,False,"keyPem = (unsigned char*)heap_caps_malloc(4096, MALLOC_CAP_SPIRAM);"
ho/WebPage_Maps.cpp,567,ps_malloc,,buf,False,False,char* buf = (char*)ps_malloc(512);
ho/WebPage_Sensors.cpp,968,heap_caps_malloc,,buf,False,False,"char* buf = (char*)heap_caps_malloc(fileSize, MALLOC_CAP_SPIRAM | MALLOC_CAP_8BIT);"
ho/WebPage_Sensors.cpp,971,malloc,,buf,False,False,buf = (char*)malloc(fileSize);
ho/WebServer_Events.cpp,132,malloc,,buf,False,False,buf = (char*)malloc(needed + 1);
