name,cls,file,line,refs
connRetHint,,ho/G2_Glasses.cpp,4574,2
parseSid80Rx,,ho/G2_Glasses.cpp,4585,2
translateCmdName,,ho/G2_Glasses.cpp,4707,2
telepromptCmdName,,ho/G2_Glasses.cpp,4719,2
transcribeCmdName,,ho/G2_Glasses.cpp,4736,2
conversateCmdName,,ho/G2_Glasses.cpp,4747,2
recoveryHeartbeatTick,,ho/G2_Glasses.cpp,5801,2
heartbeatWorkerTask,,ho/G2_Glasses.cpp,5837,2
runSessionPrelude,,ho/G2_Glasses.cpp,5956,2
g2AutoTimeSyncIfReady,,ho/G2_Glasses.cpp,5990,2
bleConnectWorkerLoop,,ho/G2_Glasses.cpp,6529,2
sendShutdownAndSettle,,ho/G2_Glasses.cpp,7692,2
pageSwapJobBody,,ho/G2_Glasses.cpp,7970,2
pageSwapWorkerLoop,,ho/G2_Glasses.cpp,8263,2
tapDispatcherWorkerLoop,,ho/G2_Glasses.cpp,8496,2
livePageWorker,,ho/G2_Glasses.cpp,9292,2
liveTextWorker,,ho/G2_Glasses.cpp,9861,2
g2LensTickOverlay,,ho/G2_Glasses.cpp,10281,2
notifyClearTimerCb,,ho/G2_Glasses.cpp,10324,2
ensureNotifyClearTimer,,ho/G2_Glasses.cpp,10353,2
g2CalcCRC16,,ho/G2_Glasses.cpp,10496,2
g2EncodeVarint,,ho/G2_Glasses.cpp,10500,2
cmd_g2connect,,ho/G2_Glasses.cpp,10520,2
cmd_g2disconnect,,ho/G2_Glasses.cpp,10549,2
cmd_g2status,,ho/G2_Glasses.cpp,10574,2
cmd_g2info,,ho/G2_Glasses.cpp,10584,2
cmd_g2settings,,ho/G2_Glasses.cpp,10609,2
cmd_g2show,,ho/G2_Glasses.cpp,10625,2
cmd_g2listrebuild,,ho/G2_Glasses.cpp,10655,2
cmd_g2liverate,,ho/G2_Glasses.cpp,10678,2
cmd_g2liveloop,,ho/G2_Glasses.cpp,10704,2
cmd_g2ai,,ho/G2_Glasses.cpp,10882,2
cmd_g2ai_noask,,ho/G2_Glasses.cpp,10894,2
cmd_g2ai_direct,,ho/G2_Glasses.cpp,10901,2
cmd_g2protostats,,ho/G2_Glasses.cpp,10915,2
cmd_g2probe,,ho/G2_Glasses.cpp,11000,2
cmd_g2devcfg,,ho/G2_Glasses.cpp,11073,2
cmd_g2imgprobe,,ho/G2_Glasses.cpp,11171,2
cmd_g2micon,,ho/G2_Glasses.cpp,11259,2
cmd_g2micoff,,ho/G2_Glasses.cpp,11283,2
cmd_g2micstats,,ho/G2_Glasses.cpp,11300,2
cmd_g2micreset,,ho/G2_Glasses.cpp,11320,2
cmd_g2micverbose,,ho/G2_Glasses.cpp,11327,2
cmd_g2micrec,,ho/G2_Glasses.cpp,11359,2
cmd_g2micwav,,ho/G2_Glasses.cpp,11459,2
cmd_g2aiconfig,,ho/G2_Glasses.cpp,11602,2
cmd_g2aih,,ho/G2_Glasses.cpp,11646,2
cmd_g2page_run,,ho/G2_Glasses.cpp,11671,2
cmd_g2notify,,ho/G2_Glasses.cpp,11715,2
cmd_g2clear,,ho/G2_Glasses.cpp,11745,2
cmd_g2scan,,ho/G2_Glasses.cpp,11750,2
